producto_id,titulo,tipo,proveedor,estado,tags,descripcion_html,imagen,fecha_creacion,fecha_actualizacion,variante_id,sku,precio,precio_comparacion,inventario_policy,cantidad_inventario,barcode,peso,opcion1,opcion2,opcion3,inventory_item_id
9003600773308,"(YV) Aceite Corporal de Coco Athos 250ml - Hidratante, Masajes y Bronceado",Corporal,Athos,active,"belleza, Capilar, corporal, piel",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/Aceitedecoco.webp?v=1759253125,2025-09-30T12:31:36-05:00,2025-10-15T11:32:45-05:00,45254790906044,,12840.00,,shopify,20,,0.0,Default Title,,,47352764694716
9012649296060,(YV) Aceite de Acabado Schwarzkopf Oil Ultime con Argán (100 ml) - Brillo Ligero,Cabello,Schwarzkopf,active,"cabello, Capilar, Schwarzkopf, Tienda",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/507-convertido-de-avif.png?v=1759855259,2025-10-07T11:42:04-05:00,2025-10-15T11:31:54-05:00,45279754813628,,100200.00,,shopify,20,,0.0,Default Title,,,47377930977468
9005903282364,"(YV) Aceite de Argán Karseell ORIGINAL - Serum Reparador para Cabello, Piel y Uñas (50ml)",Cabello,Karseell,active,"cabello, Capilar, Karseell, Tienda",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/195.webp?v=1759435386,2025-10-02T15:03:49-05:00,2025-10-15T11:32:28-05:00,45260959973564,,70800.00,,shopify,20,,0.0,Default Title,,,47358971510972
9005901643964,(YV) Aceite para Bebé JOHNSON'S® Baby Original - Hidratación Superior y Masaje,Cuidado personal,JOHNSON &amp; JOHNSON,active,"bebes, cuidado personal, JOHNSON &amp; JOHNSON, piel, Tienda",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/193.webp?v=1759434944,2025-10-02T14:57:07-05:00,2025-10-11T18:52:20-05:00,45260956631228,,12240.00,,shopify,20,,0.0,Default Title,,,47358968168636
9005069041852,(YV) Aceite para Bebé JOHNSON'S® Baby Original - Hidratación y Masaje (50ml),Cuidado personal,JOHNSON &amp; JOHNSON,active,"cuidado personal, JOHNSON &amp; JOHNSON, piel",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/152_627c7a01-39dd-4299-a2ad-5d811964ca94.webp?v=1759355224,2025-10-01T16:48:49-05:00,2025-10-11T18:45:28-05:00,45258454794428,,7440.00,,shopify,20,,0.0,Default Title,,,47356463186108
9012402061500,"(YV) Aceite Reparador de Puntas con CBD La Receta (30 ml) - Sella, da Brillo y Protege",Cabello,Receta,active,"cabello, Capilar, Receta, Tienda",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/476-convertido-de-avif.png?v=1759848251,2025-10-07T09:45:30-05:00,2025-10-15T11:31:58-05:00,45279230296252,,33000.00,,shopify,20,,0.0,Default Title,,,47377405935804
9006035468476,(YV) Acondicionador con Ceramidas Kaba - Hidratación Selladora y Anti-Frizz (500ml),Cabello,Kaba,active,"cabello, Capilar, Kaba, Tienda",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/220.webp?v=1759440662,2025-10-02T16:32:05-05:00,2025-10-15T11:32:26-05:00,45261275496636,,36000.00,,shopify,20,,0.0,Default Title,,,47359287460028
8998459834556,(YV) Acondicionador de Cebolla Anyeluz con Vitamina E - Crecimiento y Fortaleza,Cabello,Anyeluz,active,"Acondicionador, Capilar, Destacado, Shampoo, Tienda",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/AcondicionarconCebollaAnyeluzVitaminaE1.webp?v=1758773794,2025-09-24T23:08:37-05:00,2025-10-15T11:32:47-05:00,45240936202428,,32400.00,,shopify,20,,0.0,Default Title,,,47338728620220
8998949683388,(YV) Acondicionador de Romero Anyeluz con Ácido Hialurónico - Crecimiento y Fortaleza,Cabello,Anyeluz,active,"Acondicionador, Anyeluz, Capilar, Destacado, Tienda",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/AcondicionadorconRomeroAnyeluz1.webp?v=1758835695,2025-09-25T16:28:33-05:00,2025-10-15T11:32:46-05:00,45242849263804,,32400.00,,shopify,20,,0.0,Default Title,,,47340660654268
9007275835580,(YV) Acondicionador Milagros 'Milagro Herbal' - Fortalecedor y Anti-Caída (450ml),Cabello,Milagros,active,"cabello, Capilar, Milagros, Tienda",(tiene),https://cdn.shopify.com/s/files/1/0722/6222/2012/files/280.webp?v=1759504846,2025-10-03T10:21:52-05:00,2025-10-15T11:32:19-05:00,45264349954236,,39600.00,,shopify,20,,0.0,Default Title,,,47362332262588
